Cell,Age,Oxy,Sal,Period
273,4.5417,212.2236,35.9909,2016-18
274,4.7770,212.6978,35.9827,2016-18
275,4.6768,212.2349,35.9891,2016-18
276,4.5689,211.9621,35.9935,2016-18
277,4.6458,212.0907,35.9859,2016-18
278,4.6010,211.8720,35.9891,2016-18
279,4.7316,211.9835,35.9834,2016-18
280,4.7094,211.8509,35.9876,2016-18
281,4.8146,211.8248,35.9893,2016-18
282,4.8396,211.7264,35.9905,2016-18
283,4.9472,211.7319,35.9919,2016-18
284,5.7962,211.7586,35.9963,2016-18
285,6.2450,211.6976,35.9928,2016-18
286,5.5526,211.8331,35.9976,2016-18
287,6.5684,211.6561,35.9900,2016-18
288,5.3645,211.8373,36.0012,2016-18
289,5.1097,211.6408,36.0000,2016-18
290,5.3198,211.8452,36.0012,2016-18
291,5.0671,211.6868,36.0012,2016-18
292,7.5470,211.5517,35.9900,2016-18
293,6.9563,211.6442,35.9930,2016-18
294,8.5539,211.3852,35.9924,2016-18
295,9.0285,211.2677,35.9948,2016-18
296,7.7932,211.6569,35.9944,2016-18
297,8.3471,211.5152,35.9963,2016-18
298,11.5523,210.4401,35.9731,2016-18
299,12.7150,209.9650,35.9717,2016-18
300,11.2919,210.3204,35.9830,2016-18
301,10.7625,210.5417,35.9887,2016-18
302,10.1512,210.8477,35.9947,2016-18
303,9.5685,211.2031,35.9988,2016-18
304,19.1813,209.0915,35.8722,2016-18
305,17.9976,209.1002,35.8913,2016-18
306,17.4611,208.9912,35.9079,2016-18
307,17.4496,208.7743,35.9191,2016-18
308,14.9034,209.5543,35.9513,2016-18
309,16.7532,208.9138,35.9351,2016-18
310,14.4296,209.5092,35.9617,2016-18
311,4.3330,213.8268,35.9512,2016-18
312,4.4643,214.0982,35.9437,2016-18
313,4.4393,214.1356,35.9441,2016-18
314,4.4001,213.6344,35.9529,2016-18
315,4.5724,214.0987,35.9388,2016-18
316,4.3917,213.8612,35.9466,2016-18
317,4.5460,213.3076,35.9620,2016-18
318,4.4463,213.4288,35.9579,2016-18
319,4.5226,213.5758,35.9529,2016-18
320,4.7340,213.1299,35.9716,2016-18
321,4.6617,213.3159,35.9636,2016-18
322,5.0535,213.2018,35.9789,2016-18
323,5.5684,213.8078,35.9740,2016-18
324,4.0822,213.3179,35.9654,2016-18
325,3.9360,213.3020,35.9708,2016-18
326,3.9206,213.2446,35.9754,2016-18
327,4.0718,213.0183,35.9825,2016-18
328,4.2656,213.2356,35.9788,2016-18
329,4.3832,213.2730,35.9749,2016-18
330,4.5153,213.1157,35.9764,2016-18
331,4.4270,213.5955,35.9498,2016-18
332,4.3046,213.3930,35.9559,2016-18
333,4.1817,213.2615,35.9644,2016-18
334,4.7287,213.0578,35.9788,2016-18
335,4.6136,213.3627,35.9718,2016-18
336,4.7480,213.4676,35.9728,2016-18
337,4.8874,213.1834,35.9783,2016-18
338,4.8702,212.6391,35.9837,2016-18
339,5.0227,213.1737,35.9792,2016-18
340,4.9642,212.7389,35.9820,2016-18
341,4.8120,212.3321,35.9829,2016-18
342,4.9359,212.4842,35.9828,2016-18
343,4.8781,212.2708,35.9823,2016-18
344,5.0173,212.3305,35.9829,2016-18
345,5.0130,212.0088,35.9927,2016-18
346,6.1320,211.8271,36.0011,2016-18
347,6.5632,211.7477,35.9968,2016-18
348,5.7872,212.0035,35.9978,2016-18
349,5.8746,212.0266,35.9957,2016-18
350,5.6455,212.0025,36.0009,2016-18
351,5.6665,212.1450,36.0011,2016-18
