Cell,Age,Oxy,Sal,Period
368,18.3265,241.8996,35.1851,2016-18
369,17.8926,241.9727,35.1844,2016-18
370,17.9821,242.0242,35.1851,2016-18
371,17.2466,240.7803,35.2107,2016-18
372,17.9473,241.1445,35.2001,2016-18
373,17.5433,241.0920,35.2063,2016-18
374,17.9672,241.1310,35.2019,2016-18
375,17.9505,241.1558,35.2038,2016-18
376,18.3810,241.1757,35.1969,2016-18
377,17.8053,241.4055,35.2068,2016-18
378,18.1076,241.2087,35.2015,2016-18
379,21.4654,246.3132,35.0607,2016-18
380,21.3196,246.3864,35.0676,2016-18
381,21.2021,246.3282,35.0695,2016-18
382,21.3672,246.0496,35.0551,2016-18
383,20.8837,246.2951,35.0695,2016-18
384,20.9506,246.3446,35.0621,2016-18
385,20.8880,245.3926,35.0375,2016-18
386,20.9906,245.5970,35.0500,2016-18
387,21.0497,245.7921,35.0554,2016-18
388,21.2102,246.5954,35.0097,2016-18
389,20.6736,245.8246,35.0324,2016-18
390,21.6224,247.6348,34.9845,2016-18
391,21.2385,246.8537,35.0142,2016-18
392,20.6526,245.6504,35.0487,2016-18
393,20.7797,245.5483,35.0465,2016-18
394,21.1322,247.4221,34.9617,2016-18
395,20.5783,245.0652,35.0673,2016-18
396,19.5435,245.0104,35.0606,2016-18
397,20.7750,245.0973,35.0540,2016-18
398,20.9045,245.2033,35.0402,2016-18
399,20.9922,245.0600,35.0351,2016-18
400,20.7901,244.9932,35.0288,2016-18
401,20.8239,244.6321,35.0432,2016-18
402,20.4205,246.1668,35.0518,2016-18
403,19.4077,245.5223,35.0571,2016-18
404,18.0482,244.5452,35.0772,2016-18
405,20.6564,243.9995,35.0741,2016-18
406,20.5143,243.5785,35.1009,2016-18
407,20.8057,244.6386,35.0369,2016-18
408,20.7201,244.2583,35.0584,2016-18
409,20.2655,243.3530,35.1124,2016-18
410,19.2363,242.4832,35.1531,2016-18
411,18.9512,242.0739,35.1725,2016-18
412,19.6419,243.1178,35.1200,2016-18
413,19.3638,242.7163,35.1400,2016-18
414,18.6784,241.9148,35.1747,2016-18
415,18.1072,241.3533,35.1978,2016-18
416,18.1270,241.3823,35.1910,2016-18
417,17.5377,240.7137,35.2145,2016-18
418,17.0886,240.4024,35.2085,2016-18
419,16.8062,240.7718,35.2109,2016-18
420,16.9504,240.1155,35.2110,2016-18
421,16.9200,239.9137,35.2159,2016-18
422,16.6442,239.9132,35.2191,2016-18
423,16.7572,240.0956,35.2197,2016-18
424,16.4362,240.0897,35.2205,2016-18
425,16.9622,240.5717,35.2113,2016-18
426,16.5977,240.4207,35.2181,2016-18
427,17.2799,240.4121,35.2152,2016-18
428,17.6513,241.1096,35.1925,2016-18
429,17.8494,241.0807,35.1959,2016-18
430,17.1460,241.3072,35.1983,2016-18
431,16.9541,241.6434,35.1990,2016-18
432,16.5270,241.0896,35.2145,2016-18
433,17.0034,241.5992,35.2019,2016-18
